model,medium,call,sample_in_call,started_at,driver_sha256,host_up_seconds,first_inference_seconds,combined_seconds,audio_bytes,audio_seconds,audio_sha256,exit_code
qwen,ssd,model-ssd-qwen-v2,1,2026-09-13T12:23:00.561645+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,14.823630500000036,1.159028600000056,17.109748999999965,188160,3.92,50c66d69923c2701edacdb2f890cfada82863fd5a16f25c8d207cd9f08b69966,0
qwen,ssd,model-ssd-qwen-v2,2,2026-09-13T12:23:30.848515+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,14.929167900000039,1.1409565999999813,17.19468729999994,188160,3.92,50c66d69923c2701edacdb2f890cfada82863fd5a16f25c8d207cd9f08b69966,0
qwen,ssd,model-ssd-qwen-v2,3,2026-09-13T12:24:01.591993+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,14.89332760000002,1.3303456999999526,17.32433909999986,188160,3.92,50c66d69923c2701edacdb2f890cfada82863fd5a16f25c8d207cd9f08b69966,0
rvc,ssd,model-ssd-rvc-v2,1,2026-09-13T12:24:52.241587+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,10.601996299999882,11.4909447,23.248465299999907,190124,1.98,277a8d5bcdd500c17e0dae0c8b62961bc4aca5731dd9929c16a38c2378dd8cbb,0
rvc,ssd,model-ssd-rvc-v2-continuation,1,2026-09-13T12:27:12.570743+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,10.17346879999991,10.799575799999957,22.07327669999995,190124,1.98,b5038525e4b993be4d2b0d270eab95c2ebfbf0a17e16d8e42d06f6800fdd1cb5,0
rvc,ssd,model-ssd-rvc-v2-continuation,2,2026-09-13T12:27:37.670422+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,10.063565899999958,10.624844899999971,21.73879020000004,190124,1.98,a1f07224ae75488578acddb4cfc74e01a3c791dd463944981ae73cd273d2447a,0
qwen,hdd,model-hdd-qwen,1,2026-09-13T12:50:48.983445+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,46.70683750000035,1.5210141000002295,49.37455480000017,188160,3.92,50c66d69923c2701edacdb2f890cfada82863fd5a16f25c8d207cd9f08b69966,0
qwen,hdd,model-hdd-qwen,2,2026-09-13T12:51:51.837856+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,14.469197800000074,1.1233715999997003,16.632624399999713,188160,3.92,50c66d69923c2701edacdb2f890cfada82863fd5a16f25c8d207cd9f08b69966,0
qwen,hdd,model-hdd-qwen,3,2026-09-13T12:52:21.136926+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,14.341922300000078,1.163343000000168,16.61612009999999,188160,3.92,50c66d69923c2701edacdb2f890cfada82863fd5a16f25c8d207cd9f08b69966,0
rvc,hdd,model-hdd-rvc,1,2026-09-13T12:58:00.680449+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,22.038831800000025,15.093421900000067,38.416654299999664,190124,1.98,acb502690b73e5b53bfc41f66e881f14534d6e3e971187d8e6604c4f3066c581,0
rvc,hdd,model-hdd-rvc,2,2026-09-13T12:58:42.229728+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,10.698791599999822,13.065615200000138,24.943934999999783,190124,1.98,0e05fe64053e2f858088e5a8a433848ba1b408b9534355ed66b9c953682ce2b6,0
rvc,hdd,model-hdd-rvc,3,2026-09-13T12:59:10.174682+00:00,c357f20a9104b0ab70967becee936e97b59b94cbdda6254edc7e06b95b09bbde,9.591388900000311,11.92458140000008,22.579832800000077,190124,1.98,eb1f4276628524aa2362058446f78f7a2a73fb142042870a0c33c1b65b9789a9,0
