utc,monotonic_seconds,disk,read_bytes_per_second,write_bytes_per_second,idle_percent,active_percent,raw_disk_time_percent,queue_length,cpu_percent
2026-09-13T01:38:30.2314975Z,7.4641974,0 E:,0,493915,2,98,1,1,30
2026-09-13T01:38:30.2314975Z,7.4641974,1 D: C:,0,509848,98,2,0,0,30
2026-09-13T01:38:32.8848541Z,10.1109431,0 E:,0,769711,41,59,1,1,17
2026-09-13T01:38:32.8848541Z,10.1109431,1 D: C:,0,0,99,1,0,0,17
2026-09-13T01:38:35.4795748Z,12.7061428,0 E:,0,217353,81,19,0,1,22
2026-09-13T01:38:35.4795748Z,12.7061428,1 D: C:,62101,2716923,98,2,1,0,22
2026-09-13T01:38:38.0621740Z,15.288214799999999,0 E:,0,0,100,0,0,0,28
2026-09-13T01:38:38.0621740Z,15.288214799999999,1 D: C:,191479,1436099,91,9,2,3,28
2026-09-13T01:38:40.6322676Z,17.8580981,0 E:,0,0,99,1,0,0,28
2026-09-13T01:38:40.6322676Z,17.8580981,1 D: C:,0,521805,98,2,0,0,28
2026-09-13T01:38:43.2015375Z,20.4275113,0 E:,48136,304864,32,68,18,0,25
2026-09-13T01:38:43.2015375Z,20.4275113,1 D: C:,0,481364,99,1,0,0,25
2026-09-13T01:38:45.7957705Z,23.0222108,0 E:,9911515,0,0,100,300,3,25
2026-09-13T01:38:45.7957705Z,23.0222108,1 D: C:,255369,367093,99,1,0,0,25
2026-09-13T01:38:48.3781199Z,25.6041958,0 E:,0,0,100,0,0,0,23
2026-09-13T01:38:48.3781199Z,25.6041958,1 D: C:,0,0,100,0,0,0,23
2026-09-13T01:38:50.9692470Z,28.1957871,0 E:,0,834522,1,99,78,1,30
2026-09-13T01:38:50.9692470Z,28.1957871,1 D: C:,0,673812704,75,25,59,0,30
2026-09-13T01:38:53.5651023Z,30.7913271,0 E:,0,0,94,6,0,0,23
2026-09-13T01:38:53.5651023Z,30.7913271,1 D: C:,1521707,139748,92,8,10,0,23
2026-09-13T01:38:56.1488674Z,33.37508,0 E:,15550,44737411,0,100,80,1,14
2026-09-13T01:38:56.1488674Z,33.37508,1 D: C:,0,171050,99,1,0,0,14
2026-09-13T01:38:58.7186506Z,35.9445647,0 E:,0,555349,1,99,3,1,32
2026-09-13T01:38:58.7186506Z,35.9445647,1 D: C:,0,0,99,1,0,0,32
2026-09-13T01:39:01.2913026Z,38.5179136,0 E:,285032,1805208,1,99,8,1,22
2026-09-13T01:39:01.2913026Z,38.5179136,1 D: C:,0,44639315,95,5,11,0,22
2026-09-13T01:39:03.8575607Z,41.0835259,0 E:,0,820484,0,100,80,1,27
2026-09-13T01:39:03.8575607Z,41.0835259,1 D: C:,61923,866927,98,2,1,2,27
2026-09-13T01:39:06.4281788Z,43.6543062,0 E:,0,697125,1,99,14,1,29
2026-09-13T01:39:06.4281788Z,43.6543062,1 D: C:,0,2598376,77,23,117,0,29
2026-09-13T01:39:09.0000169Z,46.2258041,0 E:,0,449297,0,100,41,6,26
2026-09-13T01:39:09.0000169Z,46.2258041,1 D: C:,61972,1038032,99,1,0,0,26
2026-09-13T01:39:11.5617253Z,48.7877843,0 E:,0,0,99,1,0,0,32
2026-09-13T01:39:11.5617253Z,48.7877843,1 D: C:,0,0,99,1,0,0,32
2026-09-13T01:39:14.1361165Z,51.3622677,0 E:,0,548659,1,99,3,1,41
2026-09-13T01:39:14.1361165Z,51.3622677,1 D: C:,0,705419,99,1,0,0,41
2026-09-13T01:39:16.7167672Z,53.9429461,0 E:,0,755987,2,98,2,1,49
2026-09-13T01:39:16.7167672Z,53.9429461,1 D: C:,0,15749,99,1,0,0,49
2026-09-13T01:39:19.2755661Z,56.501785999999996,0 E:,0,32593,75,25,0,0,40
2026-09-13T01:39:19.2755661Z,56.501785999999996,1 D: C:,0,97779,99,1,0,0,40
2026-09-13T01:39:21.8627183Z,59.0887818,0 E:,0,0,99,1,0,0,31
2026-09-13T01:39:21.8627183Z,59.0887818,1 D: C:,560409,3570608,99,1,1,0,31
2026-09-13T01:39:24.4315381Z,61.6575637,0 E:,0,0,100,0,0,0,29
2026-09-13T01:39:24.4315381Z,61.6575637,1 D: C:,273177,16969172,0,100,731,3,29
2026-09-13T01:39:27.0198269Z,64.2460248,0 E:,0,0,100,0,0,0,28
2026-09-13T01:39:27.0198269Z,64.2460248,1 D: C:,18313099,16050,90,10,9,1,28
2026-09-13T01:39:29.6434717Z,66.8692664,0 E:,0,73816521,1,99,80,1,51
2026-09-13T01:39:29.6434717Z,66.8692664,1 D: C:,0,0,100,0,0,0,51
2026-09-13T01:39:32.2059821Z,69.4320165,0 E:,0,660576,2,98,2,1,17
2026-09-13T01:39:32.2059821Z,69.4320165,1 D: C:,0,692032,99,1,0,0,17
2026-09-13T01:39:34.7935975Z,72.0195889,0 E:,0,543631,0,100,34,1,35
2026-09-13T01:39:34.7935975Z,72.0195889,1 D: C:,0,388307,99,1,0,0,35
2026-09-13T01:39:37.3764288Z,74.6029995,0 E:,0,0,0,100,0,1,20
2026-09-13T01:39:37.3764288Z,74.6029995,1 D: C:,0,0,99,1,0,0,20
2026-09-13T01:39:39.9349189Z,77.161225,0 E:,0,60687507,0,100,69,2,19
2026-09-13T01:39:39.9349189Z,77.161225,1 D: C:,18085,902274,97,3,2,0,19
2026-09-13T01:39:42.5190200Z,79.7453647,0 E:,0,467123,0,100,46,1,33
2026-09-13T01:39:42.5190200Z,79.7453647,1 D: C:,0,0,99,1,0,0,33
2026-09-13T01:39:45.1034263Z,82.32945699999999,0 E:,0,46914,0,100,252,12,15
2026-09-13T01:39:45.1034263Z,82.32945699999999,1 D: C:,0,625528,96,4,0,0,15
2026-09-13T01:39:47.7192325Z,84.9455657,0 E:,0,681598,1,99,113,0,28
2026-09-13T01:39:47.7192325Z,84.9455657,1 D: C:,0,24521697,96,4,5,0,28
2026-09-13T01:39:50.3272188Z,87.5534739,0 E:,0,232782,0,100,30,1,18
2026-09-13T01:39:50.3272188Z,87.5534739,1 D: C:,0,23992131,80,20,20,0,18
